Señor sebastian:
Dentro de los primeros 5 días del mes diciembre debe realizar el pago de las siguientes cuotas:

CódigoCrédito	Valor	PagosPendiente	Total
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61
1	1.494.737,61	1.494.737,61	1.494.737,61

El total a pagar de sus créditos es: $26.905.277,05 pesos.
